pair,crop,mae,rmse,mape,n_rows,n_folds,target
soybean/Sekondi-Takoradi,soybean,2.292912953937495,3.440633611045932,68.39234622384983,37,3,returns
soybean/Sunyani,soybean,1.686522787831448,2.3202695808007885,62.90405224188799,38,3,returns
soybean/Tamale,soybean,1.086350564095709,1.6638934513312316,20.874921876102093,28,2,returns
soybean/Techiman,soybean,1.5005478982130682,2.1031786795803367,114.91375315408602,37,3,returns
soybean/Tema,soybean,3.316509935723411,4.539851604700843,28.67597054988921,36,3,returns
soybean/Wa,soybean,1.8007505965977908,2.484165950989368,64.86847412456802,24,2,returns
tomato/Accra,tomato,0.6774674754010307,0.9908711631139216,22.30734416910838,38,3,returns
tomato/Bolgatanga,tomato,1.0768711206458863,1.6078021880125302,29.62275008538786,31,3,returns
tomato/Cape Coast,tomato,1.2496678788573654,1.8191828646348396,21.872150211865016,36,3,returns
tomato/Garu,tomato,2.5289836323261263,3.085370914759752,73.02551254363524,18,1,returns
tomato/Ho,tomato,0.8168564750502507,1.0751148331723364,19.550493858719182,33,3,returns
tomato/Hohoe,tomato,0.5647529813221521,0.7857087388905643,10.853189093486215,21,1,returns
tomato/Kintampo,tomato,0.3199344120919705,0.44141739867588486,14.588046648799116,34,3,returns
tomato/Koforidua,tomato,0.5471381470188499,0.797238668189497,16.338864493804586,26,2,returns
tomato/Kumasi,tomato,0.9250241031249365,1.2845569760805586,42.74904129159807,36,3,returns
tomato/Mankessim,tomato,1.090515706119714,1.4313389472691609,26.96676001207531,36,3,returns
tomato/Obuasi,tomato,0.6425228883326054,1.1989547551475113,16.33556116107188,35,3,returns
tomato/Sekondi-Takoradi,tomato,1.1015977995925479,1.2695973923287076,22.17445711569854,36,3,returns
tomato/Sunyani,tomato,0.722391169137425,1.0124471167719429,32.23680071932001,37,3,returns
tomato/Tamale,tomato,1.302513990049009,2.018485380776743,36.42222171931593,36,3,returns
tomato/Techiman,tomato,0.305719709109377,0.45003235693443705,12.419167519534648,38,3,returns
tomato/Tema,tomato,2.7177719589322806,3.2328498936533165,30.614227460889783,35,3,returns
